,MCC,F1w,AUC,Recall_macro,Train_s
LightGBM,0.9291230419057613,0.9960384158254306,0.9997267997349686,0.9450077122620423,1.272
Gradient Boosting,0.9247364347065392,0.9957359501322449,0.9994663624047948,0.9724830895589722,69.948
Stacking (XGB+LGBM→RF),0.9162560944061872,0.995261572940062,0.9761213915896395,0.8794412501842843,12.335
XGBoost,0.9106451174619691,0.9950763659224665,0.999811807185883,0.9183970680043393,3.797
Decision Tree,0.8982141572012546,0.9943775330673439,0.9260134719335457,0.8832365702693081,0.35
Random Forest,0.8909729312631954,0.993983947681951,0.9992412808832023,0.8948823989788344,7.863
MLP (upgraded),0.7957509555457928,0.9871019618905245,0.9976738402548446,0.9380692722454077,43.725
TabNet,0.7842369355485763,0.9873103697431084,0.9979681445674917,0.8728912099605031,69.138
MLP (original),0.7499817637780789,0.9839969077780166,0.9967783012094465,0.9108112949996156,24.177
KNN,0.5360795489723164,0.9694722550453575,0.8583532117124428,0.7237543740546725,0.062
